cond	nperson	nitem	b0	b1	Item effect	approach	bias	RMSE
cond1	30	10	0	0	0.2	max	-0.002907307	0.175271111
cond2	30	10	0	0.2	0.2	max	0.006859894	0.17279798
cond3	30	10	0	0.8	0.2	max	0.006588364	0.183215503
cond4	30	10	1	0	0.2	max	-0.00922806	0.200567058
cond5	30	10	1	0.2	0.2	max	-0.007475509	0.213830115
cond6	30	10	1	0.8	0.2	max	-0.001532113	0.245918257
cond7	30	10	2	0	0.2	max	-0.018597355	0.304903267
cond8	30	10	2	0.2	0.2	max	-0.001618057	0.316889187
cond9	30	10	2	0.8	0.2	max	0.06903853	0.4010604
cond10	50	20	0	0	0.2	max	-4.30E-05	0.099670298
cond11	50	20	0	0.2	0.2	max	0.004068297	0.096764201
cond12	50	20	0	0.8	0.2	max	0.001591831	0.101721918
cond13	50	20	1	0	0.2	max	0.001073473	0.112457543
cond14	50	20	1	0.2	0.2	max	0.006746069	0.116421589
cond15	50	20	1	0.8	0.2	max	0.006155303	0.129863462
cond16	50	20	2	0	0.2	max	-0.000874763	0.161341482
cond17	50	20	2	0.2	0.2	max	0.004604299	0.169340158
cond18	50	20	2	0.8	0.2	max	0.028591913	0.196328395
cond1	30	10	0	0	0.2	comp	-0.002981937	0.173610451
cond2	30	10	0	0.2	0.2	comp	0.002094527	0.170992356
cond3	30	10	0	0.8	0.2	comp	-0.012409268	0.178245581
cond4	30	10	1	0	0.2	comp	-0.037421985	0.193170503
cond5	30	10	1	0.2	0.2	comp	-0.037707905	0.197914193
cond6	30	10	1	0.8	0.2	comp	-0.051543069	0.220022319
cond7	30	10	2	0	0.2	comp	-0.063824095	0.254577824
cond8	30	10	2	0.2	0.2	comp	-0.05824733	0.264016423
cond9	30	10	2	0.8	0.2	comp	-0.03118648	0.30176934
cond10	50	20	0	0	0.2	comp	-0.000153583	0.099019137
cond11	50	20	0	0.2	0.2	comp	0.000660686	0.095912865
cond12	50	20	0	0.8	0.2	comp	-0.011985767	0.100269779
cond13	50	20	1	0	0.2	comp	-0.024802351	0.10829813
cond14	50	20	1	0.2	0.2	comp	-0.023240225	0.111054574
cond15	50	20	1	0.8	0.2	comp	-0.036602593	0.119802402
cond16	50	20	2	0	0.2	comp	-0.048945927	0.148741407
cond17	50	20	2	0.2	0.2	comp	-0.049075418	0.15214903
cond18	50	20	2	0.8	0.2	comp	-0.048603296	0.16352257
