"ll.m1"	"ll.m2"	"ll.m1.null"	"ll.m2.null"
-409.585005364661	-410.234049884816	-409.804262551194	-410.455423259359
-415.10464010545	-414.205218766816	-415.844716879999	-414.97067495504
-412.183894602063	-411.461972900199	-412.551307186615	-411.885725223441
-407.010317344205	-407.937666470175	-407.920466326715	-409.082946796575
-392.816036924414	-394.713699025699	-392.951274425133	-394.90392926687
-405.00788273642	-405.753319605111	-405.110660559306	-405.883848341422
-408.892755887312	-409.771301074575	-409.213350560362	-410.199417915528
-395.518829794935	-395.900163260056	-397.651016391071	-398.105059906974
-415.37504994366	-413.175625251543	-415.37769549484	-413.179084499034
-414.392140737841	-413.047560007185	-413.311423368569	-413.392978731274
-406.182123013309	-407.045164806632	-406.18237207463	-407.045164806047
-413.789286300581	-412.069787850943	-413.909167587939	-412.195228295062
-410.152130788159	-410.584242409263	-410.330493955313	-410.757199656757
-403.951190429744	-403.954266996372	-404.888877217351	-404.892502452736
-398.888783721654	-398.955391266851	-398.966677416627	-399.04918351572
-411.366221692393	-411.468452305385	-411.647038587406	-411.751851819305
-412.334107219969	-412.757806786773	-412.428760797191	-412.879172355526
-404.231558600778	-404.766543588731	-404.408816722621	-404.943037809066
-406.908315089863	-406.997348801276	-407.760517589346	-407.915016324141
-407.324034621548	-407.327689374928	-407.615573699978	-407.615764948921
-403.763974354573	-405.025784371472	-404.474021458513	-405.736121473695
-406.092867834953	-406.598142789658	-406.402711581331	-406.961976614766
-405.888146979365	-406.313861320554	-405.939400271614	-406.346192751492
-408.143497945834	-408.715863054513	-408.261309287185	-408.845320948363
-407.165799097778	-407.298763054915	-408.6830278498	-410.06084021972
-407.28794160965	-408.004907556774	-407.90942358497	-408.710716093427
-401.328320134032	-401.656406271881	-401.502592902399	-401.894463522927
-404.116435632168	-404.742826109766	-404.637678379237	-405.271893399922
-410.082252237531	-410.687768649479	-410.134343359871	-410.744198722983
-404.943251729362	-404.955474689688	-405.072642777905	-405.086705594609
-406.003127599349	-406.008123447506	-406.095537832472	-406.099120160571
-399.184552684577	-399.838072291805	-399.405647830081	-400.020956058212
-412.385559035331	-412.698533093884	-413.342369253885	-413.115879842279
-413.710240162594	-412.992151695127	-413.784860993113	-413.079010226174
-405.63203085813	-405.681232003474	-405.646384730452	-405.695903078653
-404.360934524214	-404.371882239151	-405.851071665286	-405.981931646369
-397.487845550002	-399.013686222902	-397.585243254679	-399.251711301213
-397.936833458963	-398.327551636791	-398.046557805417	-398.464747384056
-409.567750355406	-409.696625977532	-410.332406777876	-410.493142447108
-412.175472684903	-412.198544210215	-415.069914759632	-412.701023661524
-412.72121960612	-413.255113871603	-412.778473884445	-413.310165491347
-411.218414017871	-411.227138013482	-414.524089697542	-414.491310388611
-407.313721718706	-407.689361703545	-407.337809174048	-407.721975112776
-403.454881813994	-404.116536040609	-403.854232447522	-404.557021760053
-409.163216259926	-409.657073017473	-409.740991795113	-410.254876297582
-405.758838489948	-406.884051450235	-406.272730305423	-407.589700951175
-403.245084033897	-403.451707794764	-403.245397440996	-403.451707793703
-401.392637341385	-401.751350939666	-401.800941359137	-402.117061681693
-413.953560406244	-413.95356041975	-415.430650084533	-415.430650082131
-412.521634876583	-412.976304300056	-412.873318020068	-413.391397473892
-394.314532220093	-394.606704343591	-394.345904464029	-394.641597819821
-409.830575840078	-411.183069036122	-409.830910718283	-411.186587191554
-404.055134377499	-404.199710304169	-405.666377510422	-406.139960898571
-404.836795123562	-405.664250964987	-404.931151956033	-405.79573264342
-412.195467078882	-412.558666956279	-412.652143055724	-413.057638488868
-410.392256223207	-411.259694305305	-410.556108957367	-411.485559805644
-410.986126199658	-412.86614303025	-411.253533589667	-413.2817961154
-406.057620120191	-407.536668542485	-406.075966287322	-407.569301154465
-406.280355481165	-407.018215834039	-406.775748373291	-407.622193479877
-401.838119990815	-402.819914164508	-401.865566011555	-402.878404645009
-405.10491157314	-405.595282484189	-407.435908974913	-408.606015549529
-399.878031069634	-399.89732363813	-399.89332119672	-399.912329962609
-410.160130301974	-410.948758760364	-410.39820741127	-411.37183730988
-406.004826661545	-406.075472314966	-406.063099066561	-406.133912940898
-402.408277607028	-402.408964421722	-403.602158338492	-403.602275415967
-393.727003236433	-397.052399219544	-394.23022625854	-398.026470358184
-409.108728241036	-409.206415715075	-410.332112907313	-410.582420271474
-406.824159385266	-407.78610474565	-406.923878969337	-407.916305559186
-413.664608557332	-410.363551500347	-414.083740306708	-410.869586788582
-404.330896200998	-404.342387802825	-404.563155094213	-404.578138349773
-410.50954896147	-410.655592798674	-410.696499230264	-410.878568357611
-406.65179411009	-406.851460289456	-406.651905704545	-406.85146028787
-397.867347784594	-399.755564559705	-398.152249370768	-400.207957596097
-409.299937634636	-409.594998966343	-409.44386519289	-409.769159539779
-398.740589946956	-399.110446859137	-399.492716914548	-399.955367817553
-409.008894211963	-409.106053901051	-409.429232419543	-409.538245981504
-408.867016593328	-409.638127265015	-409.141081171658	-409.927469733072
-409.274273763913	-409.925618703614	-409.48024005853	-410.153496562603
-404.482729826162	-404.743718102017	-404.483864638802	-404.743719082195
-406.139695930895	-406.903382772416	-406.141924689808	-406.907020758398
-402.633445462845	-403.630137187179	-402.808698821782	-403.864851562476
-391.876324960012	-394.79043059642	-391.876356419249	-394.790430595868
-410.207905867236	-410.406339752598	-411.113355356607	-411.306342340864
-400.047529893775	-400.10091180164	-400.224511685804	-400.286127158581
-409.612832374881	-409.635035494354	-409.902171518492	-409.923944194548
-405.418855568006	-405.419011104481	-407.659604853198	-407.665818812926
-410.392804426812	-410.93023693797	-410.589015137905	-411.15529449062
-409.512107744013	-409.529102522374	-410.357632092609	-410.43474184023
-394.788096577308	-396.410234471287	-394.867501487254	-396.506737953955
-400.521470821099	-400.535691356922	-400.872041015738	-400.90920247764
-408.335483948714	-408.986276345592	-408.829306358095	-409.497482244997
-402.33958174509	-406.606247595752	-402.419472276075	-406.663936543955
-412.348645829291	-411.774352200617	-412.544513149818	-412.05671169431
-396.589281586353	-399.201997404246	-396.985313721874	-399.578707617704
-407.575869228814	-409.010986228335	-408.627705829529	-410.434816946751
-407.079946635649	-407.914813172838	-407.080221299864	-407.91842044515
-403.394606352938	-403.596884348875	-403.437465963004	-403.655819378463
-405.531370805388	-405.564880797706	-406.146536175781	-406.182467560807
-401.729613902555	-402.138095136375	-401.733920979796	-402.14180090405
-407.281025263218	-407.32779189298	-407.29223595957	-407.342172294765
-404.640516423417	-404.64167853064	-406.233897881158	-406.234472171139
-398.836513738516	-399.620624586008	-399.396213481079	-400.165163426475
-409.238778877245	-409.746923696437	-409.341134644212	-409.874514696397
