"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"table1" 0.615277717083484 0.615277717083479 25.0512380264438 25.0512380264438 0.019 0.027 0.046 0.046
"table2" -1.0640161186554 -1.06401611865555 24.5348961303869 24.5348961303871 0.02 0.024 0.045 0.053
"table3" -0.739735304405643 -0.739735304405702 24.674082535739 24.6740825357391 0.018 0.026 0.046 0.05
"table4" -1.26631645428664 -1.26631645428666 24.615093448747 24.6150934487469 0.135 0.154 0.139 0.151
"table5" 0.0630857524888455 0.0630857524886572 24.2736896501974 24.2736896501974 0.129 0.155 0.141 0.156
"table6" 0.290361992185165 0.290361992185176 23.963102275807 23.963102275807 0.143 0.165 0.157 0.165
"table7" -0.220665551394187 -0.220665551393893 13.193980943384 13.1939809433843 0.013 0.021 0.036 0.05
"table8" 0.174574337175246 0.174574337175412 13.6126060792537 13.6126060792536 0.023 0.03 0.035 0.05
"table9" 0.31605191089125 0.316051910891238 13.2437663273861 13.243766327386 0.017 0.023 0.028 0.034
"table10" -0.187579502420977 -0.187579502420999 13.2781544217015 13.2781544217016 0.399 0.438 0.391 0.438
"table11" 0.168140725705999 0.168140725706252 13.495135902912 13.4951359029114 0.432 0.467 0.422 0.467
"table12" 0.108680733668663 0.108680733668905 13.5985072522015 13.5985072522014 0.426 0.466 0.419 0.466
